,product_name,product_url,category,status,stars
994,Patiala Suit Slawar Dress Metrail,https://yoshops.com/products/patiala-suit-slawar-dress-metrail,Fashion,unreviewed,
995,LEHENGA CHOLI By SHARA,https://yoshops.com/products/lehenga-choli-by-shara,Fashion,unreviewed,
996,Designer Gown By ZARA,https://yoshops.com/products/designer-gown-by-zara,Fashion,unreviewed,
997,Party Wear Kurtis By ROYAL,https://yoshops.com/products/party-wear-kurtis-by-royal,Fashion,unreviewed,
998,Designer Wedding Wear Saree By ARADHANA,https://yoshops.com/products/designer-wedding-wear-saree-by-aradhana,Fashion,unreviewed,
999,DENIM Ladies JEANS By DEYON,https://yoshops.com/products/denim-ladies-jeans-by-deyon1,Fashion,unreviewed,
1000,Digital Wrist Watch Unisex,https://yoshops.com/products/digital-wrist-watch-unisex,Fashion,unreviewed,
1001,BEN 10 Projector Watch,https://yoshops.com/products/ben-10-omniverse-projector-watch,Fashion,unreviewed,
1002,Zebronics ZEB-FIT100 Smart Fitness Band,https://yoshops.com/products/zebronics-zeb-fit100-smart-fitness-band,Fashion,unreviewed,
1003,KIPSTA Kids Sports Football Jersey F300 (White),https://yoshops.com/products/kipsta-kids-sports-football-jersey-f300-white,Fashion,unreviewed,
1004,KIPSTA Kids Sports Football Jersey F300 (Blue),https://yoshops.com/products/kipsta-kids-sports-football-jersey-f300-blue,Fashion,unreviewed,
1005,DOMYOS Slim-Fit Gym Sports T-Shirt (Black),https://yoshops.com/products/domyos-slim-fit-gym-sports-t-shirt-black,Fashion,unreviewed,
1006,DOMYOS S500 Boys Gym Sports Half-Sleeved T-Shirt (Grey),https://yoshops.com/products/domyos-s500-gym-sports-half-sleeved-t-shirt-grey,Fashion,unreviewed,
1007,KALENJI Kids Unisex Gym Sports T-Shirt (Blue),https://yoshops.com/products/kalenji-unisex-gym-sports-t-shirt-blue,Fashion,unreviewed,
1008,KALENJI Kids Unisex Gym Sports T-Shirt (Red),https://yoshops.com/products/kalenji-kids-unisex-gym-sports-t-shirt-red,Fashion,unreviewed,
1009,Boys Half-Sleeved Gym KidsT-Shirt DOMYOS 100 (White),https://yoshops.com/products/domyos-100-boys-half-sleeved-gym-kidst-shirt-white,Fashion,unreviewed,
1010,Toby Home Air Freshener Spray Sandal (250 ml),https://yoshops.com/products/toby-home-air-freshener-spray-sandal-250-ml,Fashion,unreviewed,
1011,PUBG T-Shirt Half Sleeve Round Neck (Black),https://yoshops.com/products/pubg-t-shirt-half-sleeve-round-neck-black,Fashion,unreviewed,
1012,"Zordan Men's Styling Herbal Combo Pack (Body Deo,Hair Oil,Shampoo,Shaving Cream,Hair Gel)",https://yoshops.com/products/zordan-men-s-styling-herbal-combo-pack-body-deo-hair-oil-shampoo-shaving-cream-hair-gel,Fashion,unreviewed,
1013,Men Brown Two Fold Wallet,https://yoshops.com/products/men-brown-two-fold-wallet,Fashion,unreviewed,
1014,Men black two fold wallet,https://yoshops.com/products/men-black-two-fold-wallet,Fashion,unreviewed,
1015,Karismaa Embroidered Net Lehenga choli with dupatta,https://yoshops.com/products/karismaa-embroidered-net-lehenga-choli-with-dupatta,Fashion,unreviewed,
1016,Nature Anti Tan Facial Kit 4pc,https://yoshops.com/products/nature-anti-tan-facial-kit-4pc,Fashion,unreviewed,
1017,"Aagam Salwar Suits and Dress Materials(Pink,RED,Black,Blue,Yellow)",https://yoshops.com/products/aagam-salwar-suits-and-dress-materials,Fashion,unreviewed,
1018,Davidson Sunglasses Unisex Metal Body Tony Stark Style and Inspired By Shahid Kapoor Kabir Singh,https://yoshops.com/products/davidson-sunglasses-unisex-metal-body-tony-stark-style-and-inspired-by-shahid-kapoor-kabir-singh,Fashion,unreviewed,
1019,Navy Blue Canvas shoe for Boys,https://yoshops.com/products/navy-blue-canvas-shoe-for-boys,Fashion,unreviewed,
1020,Yo Lifestyle White with Blue strike Color Casual Shoes,https://yoshops.com/products/yo-lifestyle-white-with-blue-strike-color-casual-shoes,Fashion,unreviewed,
1021,Yo Lifestyle Black Color Casual Shoes,https://yoshops.com/products/yo-lifestyle-black-color-casual-shoes,Fashion,unreviewed,
1022,Men Formal Shoes Black Color With Free Sunglasses,https://yoshops.com/products/men-formal-shoes-black-color-with-free-sunglasses,Fashion,unreviewed,
